pdb_id,title,method,resolution_A,protein,genes,organism,druglike_ligands,cofactor_ligands,n_druglike,contains_dna,target,verdict,reason
2OJG,"Crystal structure of ERK2 in complex with N,N-dimethyl-4-(4-phenyl-1H-pyrazol-3-yl)-1H-pyr",X-RAY DIFFRACTION,2.0,Mitogen-activated protein kinase 1,"MAPK1,ERK2,PRKM1",Homo sapiens,19A,,1.0,False,ERK2 (MAPK1),ACCEPT,ok
6G54,Crystal structure of ERK2 covalently bound to SM1-71,X-RAY DIFFRACTION,2.05,Mitogen-activated protein kinase 1,"MAPK1,ERK2,PRKM1,PRKM2",Homo sapiens,6H3,,1.0,False,ERK2 (MAPK1),ACCEPT,ok
4QTB,Structure of human ERK1 in complex with SCH772984 revealing a novel inhibitor-induced bind,X-RAY DIFFRACTION,1.4,Mitogen-activated protein kinase 3,"ERK1,MAPK3,PRKM3",Homo sapiens,38Z,,1.0,False,ERK2 (MAPK1),REJECT,"gene mismatch: got ['ERK1', 'MAPK3', 'PRKM3'], want ['ERK2', 'MAPK1', 'PRKM1']"
5NHO,Human Erk2 with an Erk1/2 inhibitor,X-RAY DIFFRACTION,2.24,Mitogen-activated protein kinase 1,"MAPK1,ERK2,PRKM1,PRKM2",Homo sapiens,8XN,,1.0,False,ERK2 (MAPK1),ACCEPT,ok
6OIM,Crystal Structure of human KRAS G12C covalently bound to AMG 510,X-RAY DIFFRACTION,1.65,GTPase KRas,"KRAS,KRAS2,RASK2",Homo sapiens,MOV,GDP,1.0,False,KRAS (switch-II pocket),ACCEPT,ok
7RPZ,KRAS G12D in complex with MRTX-1133,X-RAY DIFFRACTION,1.3,Isoform 2B of GTPase KRas,"KRAS,KRAS2,RASK2",Homo sapiens,6IC,GDP,1.0,False,KRAS (switch-II pocket),ACCEPT,ok
6GJ8,CRYSTAL STRUCTURE OF KRAS G12D (GPPCP) IN COMPLEX WITH BI 2852,X-RAY DIFFRACTION,1.65,GTPase KRas,"KRAS,KRAS2,RASK2",Homo sapiens,"F0K,GCP",,2.0,False,KRAS (switch-II pocket),ACCEPT,ok
4OBE,Crystal Structure of GDP-bound Human KRas,X-RAY DIFFRACTION,1.24,GTPase KRas,"KRAS,KRAS2,RASK2",Homo sapiens,,GDP,0.0,False,KRAS (switch-II pocket),REJECT,cofactor-only ligand (GDP) -- no inhibitor pocket to redock
4LVT,Bcl_2-Navitoclax (ABT-263) Complex,X-RAY DIFFRACTION,2.05,Apoptosis regulator Bcl-2,BCL2,Homo sapiens,1XJ,,1.0,False,Bcl-2,ACCEPT,ok
6O0K,crystal structure of BCL-2 with venetoclax,X-RAY DIFFRACTION,1.62,Apoptosis regulator Bcl-2,"BCL2,BCL2L1,BCL2L,BCLX",Homo sapiens,LBM,,1.0,False,Bcl-2,ACCEPT,ok
6QGG,Structure of human Bcl-2 in complex with analogue of ABT-737,X-RAY DIFFRACTION,1.5,"Apoptosis regulator Bcl-2,Bcl-2-like protein 1,Apoptosis regulator Bcl-2,Bcl-2-like protei","BCL2,BCL2L1,BCL2L,BCLX",Homo sapiens,J1H,,1.0,False,Bcl-2,ACCEPT,ok
3QKD,Crystal structure of Bcl-xL in complex with a Quinazoline sulfonamide inhibitor,X-RAY DIFFRACTION,2.02,Bcl-2-like protein 1,"BCL2L1,BCL2L,BCLX",Homo sapiens,HI0,,1.0,False,Bcl-xL,ACCEPT,ok
4QVX,Discovery of a Potent and Selective BCL-XL Inhibitor That Demonstrates Thrombocytopenia an,X-RAY DIFFRACTION,2.1,Bcl-2-like protein 1,"BCL2L1,BCL2L,BCLX",Homo sapiens,3CQ,,1.0,False,Bcl-xL,ACCEPT,ok
2YXJ,Crystal structure of Bcl-xL in complex with ABT-737,X-RAY DIFFRACTION,2.2,Apoptosis regulator Bcl-X,Bcl-xL,Homo sapiens,N3C,,1.0,False,Bcl-xL,REJECT,"gene mismatch: got ['BCL-XL', 'BCLXL'], want ['BCL2L1']"
1NME,Structure of Casp-3 with tethered salicylate,X-RAY DIFFRACTION,1.6,Caspase-3,,Homo sapiens,"158,159",,2.0,False,Caspase-3,ACCEPT,ok
2XYG,Caspase-3:CAS329306,X-RAY DIFFRACTION,1.54,CASPASE-3 SUBUNIT P17; CASPASE-3 SUBUNIT P12,,HOMO SAPIENS,TQ8,,1.0,False,Caspase-3,ACCEPT,ok
4QTX,Caspase-3 Y195A,X-RAY DIFFRACTION,1.974,Caspase-3; ACE-ASP-GLU-VAL-ASP-CHLOROMETHYLKETONE INHIBITOR,"CASP3,CPP32",Homo sapiens,,,0.0,False,Caspase-3,REJECT,no co-crystallised ligand -> G1 redocking impossible
3KJF,Caspase 3 Bound to a covalent inhibitor,X-RAY DIFFRACTION,2.0,Caspase-3,"CASP3,CPP32",Homo sapiens,B92,,1.0,False,Caspase-3,ACCEPT,ok
5KIR,The Structure of Vioxx Bound to Human COX-2,X-RAY DIFFRACTION,2.697,Prostaglandin G/H synthase 2,"PTGS2,COX2",Homo sapiens,"RCX,COH",,2.0,False,COX-2 (PTGS2),ACCEPT,ok
5F19,The Crystal Structure of Aspirin Acetylated Human Cyclooxygenase-2,X-RAY DIFFRACTION,2.04,Prostaglandin G/H synthase 2,"PTGS2,COX2",Homo sapiens,"COH,AKR",,2.0,False,COX-2 (PTGS2),ACCEPT,ok
3NT1,High resolution structure of naproxen:COX-2 complex.,X-RAY DIFFRACTION,1.73,Prostaglandin-endoperoxide synthase 2,"COX-2 PGHS-B,mCG_5001,Ptgs2",Mus musculus,NPS,HEM,1.0,False,COX-2 (PTGS2),REJECT,organism ['mus musculus'] not allowed
1CX2,"CYCLOOXYGENASE-2 (PROSTAGLANDIN SYNTHASE-2) COMPLEXED WITH A SELECTIVE INHIBITOR, SC-558",X-RAY DIFFRACTION,3.0,CYCLOOXYGENASE-2,,Mus musculus,S58,HEM,1.0,False,COX-2 (PTGS2),REJECT,organism ['mus musculus'] not allowed
4ASD,Crystal Structure of VEGFR2 (Juxtamembrane and Kinase Domains) in Complex with SORAFENIB (,X-RAY DIFFRACTION,2.03,VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR 2,,HOMO SAPIENS,BAX,,1.0,False,VEGFR2 (KDR),ACCEPT,ok
3VHE,Crystal structure of human VEGFR2 kinase domain with a novel pyrrolopyrimidine inhibitor.,X-RAY DIFFRACTION,1.55,Vascular endothelial growth factor receptor 2,"FLK1,KDR",Homo sapiens,42Q,,1.0,False,VEGFR2 (KDR),ACCEPT,ok
2OH4,Crystal structure of Vegfr2 with a benzimidazole-urea inhibitor,X-RAY DIFFRACTION,2.05,Vascular endothelial growth factor receptor 2,"KDR,FLK1,VEGFR2",Homo sapiens,GIG,,1.0,False,VEGFR2 (KDR),ACCEPT,ok
1SA0,TUBULIN-COLCHICINE: STATHMIN-LIKE DOMAIN COMPLEX,X-RAY DIFFRACTION,3.58,Tubulin alpha chain; Tubulin beta chain; Stathmin 4,STMN4,Bos taurus; Rattus norvegicus,CN2,"GTP,GDP",1.0,False,Tubulin (colchicine site),ACCEPT,ok
4O2B,Tubulin-Colchicine complex,X-RAY DIFFRACTION,2.3,Tubulin alpha-1B chain; Tubulin beta-2B chain; Stathmin-4; Tubulin-tyrosine ligase,"Stmn4,TTL",Bos taurus; Rattus norvegicus; Gallus gallus,LOC,"GTP,GDP,ACP",1.0,False,Tubulin (colchicine site),ACCEPT,ok
5LYJ,Tubulin-Combretastatin A4 complex,X-RAY DIFFRACTION,2.397,Tubulin alpha-1B chain; Tubulin beta-2B chain; Stathmin-4; Tubulin-tyrosine ligase,"Stmn4,TTL",Bos taurus; Rattus norvegicus; Gallus gallus,7BA,"GTP,GDP,ACP",1.0,False,Tubulin (colchicine site),ACCEPT,ok
402B,,,,,,,,,,,Tubulin (colchicine site),REJECT,entry not retrievable
5GWK,Human topoisomerase IIalpha in complex with DNA and etoposide,X-RAY DIFFRACTION,3.152,DNA topoisomerase 2-alpha; DNA (5'-D(P*AP*GP*CP*CP*GP*AP*GP*C)-3'); DNA (5'-D(P*TP*GP*CP*A,"TOP2A,TOP2",Homo sapiens; synthetic construct,EVP,,1.0,True,Topoisomerase II (DNA cleavage complex),ACCEPT,ok
3QX3,Human topoisomerase IIbeta in complex with DNA and etoposide,X-RAY DIFFRACTION,2.162,DNA topoisomerase 2-beta; DNA (5'-D(P*AP*GP*CP*CP*GP*AP*GP*C)-3'); DNA (5'-D(P*TP*GP*CP*AP,TOP2B,Homo sapiens,EVP,,1.0,True,Topoisomerase II (DNA cleavage complex),ACCEPT,ok
4G0U,Human topoisomerase IIbeta in complex with DNA and amsacrine,X-RAY DIFFRACTION,2.7,DNA topoisomerase 2-beta; DNA (5'-D(P*AP*GP*CP*CP*GP*AP*GP*C)-3'); DNA (5'-D(P*TP*GP*CP*AP,TOP2B,Homo sapiens,ASW,,1.0,True,Topoisomerase II (DNA cleavage complex),ACCEPT,ok
4L7B,"Structure of keap1 kelch domain with (1S,2R)-2-{[(1S)-1-[(1,3-dioxo-1,3-dihydro-2H-isoindo",X-RAY DIFFRACTION,2.41,Kelch-like ECH-associated protein 1,"KEAP1,INRF2,KIAA0132,KLHL19",Homo sapiens,1VV,,1.0,False,KEAP1 (Kelch domain),ACCEPT,ok
4XMB,"Crystal structure of 2,2'-(naphthalene-1,4-diylbis(((4-methoxyphenyl)sulfonyl)azanediyl))d",X-RAY DIFFRACTION,2.428,Kelch-like ECH-associated protein 1,"KEAP1,INRF2,KIAA0132,KLHL19",Homo sapiens,41P,,1.0,False,KEAP1 (Kelch domain),ACCEPT,ok
5FNU,Structure of the Keap1 Kelch domain in complex with a small molecule inhibitor.,X-RAY DIFFRACTION,1.78,KELCH-LIKE ECH-ASSOCIATED PROTEIN 1,,MUS MUSCULUS,L6I,,1.0,False,KEAP1 (Kelch domain),REJECT,organism ['mus musculus'] not allowed
4IQK,Crystal structure of cpd 16 bound to Keap1 Kelch domain,X-RAY DIFFRACTION,1.97,Kelch-like ECH-associated protein 1,"INRF2,KEAP1,KIAA0132,KLHL19",Homo sapiens,IQK,,1.0,False,KEAP1 (Kelch domain),ACCEPT,ok
2ZZ0,Crystal structure of human thioredoxin reductase I (SeCys 498 Cys),X-RAY DIFFRACTION,2.8,"Thioredoxin reductase 1, cytoplasmic","TXNRD1,KDRF",Homo sapiens,,FAD,0.0,False,Thioredoxin reductase 1,REJECT,cofactor-only ligand (FAD) -- no inhibitor pocket to redock
3QFA,Crystal structure of the human thioredoxin reductase-thioredoxin complex,X-RAY DIFFRACTION,2.2,"Thioredoxin reductase 1, cytoplasmic; Thioredoxin","GRIM12,KDRF,TXNRD1,TRDX,TRX,TRX1,TXN",Homo sapiens,,FAD,0.0,False,Thioredoxin reductase 1,REJECT,cofactor-only ligand (FAD) -- no inhibitor pocket to redock
3QFB,Crystal structure of the human thioredoxin reductase-thioredoxin complex,X-RAY DIFFRACTION,2.6,"Thioredoxin reductase 1, cytoplasmic; Thioredoxin","GRIM12,KDRF,TXNRD1,TRDX,TRX,TRX1,TXN",Homo sapiens,,FAD,0.0,False,Thioredoxin reductase 1,REJECT,cofactor-only ligand (FAD) -- no inhibitor pocket to redock
2F1O,Crystal Structure of NQO1 with Dicoumarol,X-RAY DIFFRACTION,2.75,NAD(P)H dehydrogenase [quinone] 1,"NQO1,DIA4,NMOR1",Homo sapiens,DTC,FAD,1.0,False,NQO1,ACCEPT,ok
1D4A,CRYSTAL STRUCTURE OF HUMAN NAD[P]H-QUINONE OXIDOREDUCTASE AT 1.7 A RESOLUTION,X-RAY DIFFRACTION,1.7,QUINONE REDUCTASE,,Homo sapiens,,FAD,0.0,False,NQO1,REJECT,cofactor-only ligand (FAD) -- no inhibitor pocket to redock
1H69,"CRYSTAL STRUCTURE OF HUMAN NAD[P]H-QUINONE OXIDOREDUCTASE CO WITH 2,3,5,6,TETRAMETHYL-P-BE",X-RAY DIFFRACTION,1.86,NAD(P)H DEHYDROGENASE [QUINONE] 1,,HOMO SAPIENS,ARH,FAD,1.0,False,NQO1,ACCEPT,ok
